issue,topic
8510,12
8511,35
8512,12
8514,12
8515,63
8516,63
8517,12
8518,52
8519,63
8520,12
8521,12
8523,35
8524,12
8525,52
8526,35
8528,63
8529,63
8530,52
8531,12
8532,42
8533,12
8534,12
8535,35
8537,12
8538,60
8539,63
8540,35
8541,31
8542,42
8545,31
8546,52
8547,52
8549,35
8550,43
8551,35
8552,52
8553,35
8554,35
8555,35
8556,35
8557,31
8559,50
8560,35
8561,35
8564,57
8566,31
8567,35
8569,31
8570,12
8571,43
8572,52
8573,13
8574,35
8575,63
8576,52
8577,31
8578,35
8579,42
8580,35
8583,52
8584,63
8585,52
8587,35
8590,52
8591,42
8592,42
8593,35
8594,35
8595,35
8596,52
8597,13
8598,63
8599,35
8602,63
8603,42
8604,42
8605,35
8606,43
8609,35
8610,35
8611,42
8612,12
8614,35
8615,35
8616,52
8617,12
8618,35
8619,63
8620,35
8622,12
8624,52
8625,35
8626,35
8627,63
8628,35
8629,35
8630,35
8631,52
8634,13
8637,35
8638,35
8639,42
8641,35
8642,35
8643,35
8644,52
8645,31
8648,35
8649,42
8650,35
8651,35
8653,35
8654,35
8655,13
8656,35
8658,35
8659,35
8660,13
8661,52
8662,42
8663,35
8664,35
8665,35
8666,31
8667,31
8668,35
8670,35
8671,52
8672,35
8673,52
8674,52
8675,35
8676,52
8677,35
8678,63
8679,13
8680,35
8681,3
8682,31
8683,35
8684,35
8685,35
8686,35
8687,31
8688,35
8689,35
8690,42
8691,42
8692,35
8693,52
8694,35
8695,35
8696,13
8697,52
8698,35
8700,35
8701,35
8702,42
8703,35
8705,35
8706,42
8707,60
8708,31
8709,35
8710,35
8711,31
8713,35
8714,31
8715,42
8716,31
8718,35
8719,31
8720,63
8723,35
8724,35
8725,35
8726,35
8727,35
8729,35
8732,35
8733,35
8734,35
8735,35
8736,35
8738,42
8740,63
8741,35
8742,35
8743,42
8744,42
8746,35
8747,12
8749,35
8750,42
8751,35
8753,42
8754,35
8756,42
8757,42
8759,60
8761,35
8762,35
8763,35
8764,60
8765,31
8766,35
8767,35
8770,35
8771,31
8772,31
8782,31
8783,42
8785,42
8786,42
8789,35
8790,42
8791,35
8792,35
8793,35
8795,25
8797,35
8799,63
8800,35
8801,35
8803,25
8805,42
8806,35
8809,63
8810,42
8812,35
8813,63
8814,63
8815,63
8816,63
8818,63
8821,42
8823,35
8825,63
8826,63
8827,63
8828,63
8829,12
8830,35
8831,63
8833,42
8834,35
8836,42
8837,35
8838,42
8839,35
8840,35
8843,35
8845,1
8846,31
8847,35
8848,35
8849,35
8850,35
8852,42
8853,35
8855,35
8856,42
8861,42
8862,35
8863,35
8864,35
8867,35
8868,42
8870,35
8871,42
8872,35
8873,3
8877,31
8878,42
8880,35
8881,35
8882,42
8886,35
8887,35
8888,63
8891,35
8893,12
8894,35
8895,60
8896,42
8897,35
8898,12
8901,35
8902,35
8903,31
8904,42
8905,63
8908,31
8909,35
8910,35
8913,35
8914,12
8915,12
8916,35
8917,5
8918,63
8919,35
8920,42
8923,35
8925,63
8927,35
8928,35
8929,31
8930,35
8932,12
8934,35
8937,35
8938,35
8939,12
8941,31
8942,42
8944,57
8945,63
8946,12
8951,42
8952,42
8954,42
8956,35
8957,63
8958,31
8959,42
8960,35
8962,12
8963,63
8965,31
8967,42
8968,35
8970,63
8971,35
8973,12
8974,42
8977,35
8987,35
8988,42
8989,42
8990,42
8995,60
8996,35
8998,35
9001,35
9002,12
9005,35
9007,42
9009,42
9010,42
9011,35
9013,63
9014,63
9015,35
9016,63
9018,35
9020,42
9023,63
9025,42
9026,35
9027,35
9028,42
9030,42
9032,63
9033,42
9035,63
9036,35
9038,42
9039,31
9041,35
9045,42
9046,63
9048,35
9049,42
9051,35
9054,35
9055,35
9058,35
9060,63
9061,43
9062,35
9065,35
9067,63
9068,35
9069,42
9070,35
9072,35
9073,35
9074,35
9076,35
9077,31
9079,31
9080,12
9082,43
9083,12
9084,42
9085,63
9087,35
9088,63
9089,31
9090,29
9091,43
9092,35
9093,12
9096,12
9098,35
9100,35
9102,31
9106,35
9107,42
9110,35
9112,35
9113,35
9114,35
9117,35
9118,35
9119,35
9122,31
9124,60
9125,35
9126,35
9128,31
9130,57
9132,35
9134,35
9135,35
9136,31
9138,12
9140,35
9141,63
9142,35
9143,42
9144,31
9145,42
9146,35
9149,42
9150,35
9151,56
9153,12
9155,63
9157,35
9158,31
9159,31
9160,42
9161,35
9162,12
9163,42
9164,42
9165,12
9169,63
9170,35
9171,12
9172,35
9174,31
9176,35
9177,12
9178,42
9184,35
9185,63
9187,35
9190,35
9191,35
9195,12
9196,35
9197,42
9198,35
9200,35
9202,43
9203,42
9204,31
9205,35
9208,31
9209,31
9210,31
9212,31
9213,35
9214,56
9216,35
9217,63
9219,31
9220,35
9221,12
9222,63
9224,35
9227,42
9228,35
9229,63
9230,42
9231,35
9233,12
9234,42
9238,42
9239,35
9240,63
9241,35
9246,35
9247,56
9248,31
9250,12
9251,63
9253,31
9254,31
9255,42
9256,35
9259,35
9266,35
9267,63
9268,35
9270,42
9271,57
9273,35
9274,35
9276,29
9277,35
9278,12
9279,63
9282,42
9283,42
9284,42
9285,35
9291,42
9292,42
9293,31
9298,42
9299,12
9301,35
9302,35
9303,42
9305,63
9309,42
9310,57
9311,63
9312,31
9313,35
9317,35
9318,12
9319,63
9320,35
9321,42
9322,35
9323,42
9324,31
9326,12
9327,12
9330,42
9331,12
9332,35
9333,35
9334,35
9335,35
9336,35
9337,35
9339,42
9340,12
9343,42
9344,42
9347,35
9349,12
9353,35
9354,35
9355,31
9357,35
9358,31
9359,35
9360,35
9361,63
9367,35
9373,31
9379,63
9380,42
9383,35
9385,35
9390,35
9391,63
9392,35
9394,35
9395,63
9396,12
9399,42
9400,58
9402,3
9405,35
9415,39
9420,39
9423,60
9424,39
9427,39
9429,42
9433,39
9434,42
9438,42
9443,48
9446,18
9447,18
9449,48
9458,43
9466,42
9469,43
9470,18
9473,18
9474,57
9475,46
9480,42
9489,43
9491,56
9493,42
9497,57
9498,42
9500,57
9501,42
9502,42
9507,47
9508,42
9512,61
9514,42
9517,25
9520,47
9522,42
9530,47
9533,42
9541,47
9543,42
9544,42
9545,60
9546,44
9547,42
9550,58
9552,37
9557,47
9559,23
9560,42
9561,42
9562,42
9563,42
9564,42
9571,42
9577,42
9581,60
9583,42
9584,58
9594,42
9595,42
9602,47
9603,60
9625,58
9632,61
9640,42
9641,42
9650,46
9657,60
9668,42
9673,47
9682,60
9685,35
9693,42
9696,57
9699,11
9702,44
9707,38
9709,25
9713,42
9714,51
9717,24
9722,60
9727,60
9729,56
9731,60
9733,24
9746,55
9748,42
9754,42
9757,50
9758,18
9765,56
9769,42
9770,60
9785,60
9786,42
9790,24
9791,25
9797,30
9803,42
9806,42
9818,42
9821,56
9826,42
9830,18
9843,61
9849,61
9864,43
9868,61
9880,42
9886,61
9888,43
9896,43
9899,33
9914,41
9923,42
9925,42
9926,56
9931,42
9932,42
9934,9
9936,9
9937,42
9943,9
9947,56
9949,9
9952,42
9958,44
9961,60
9981,2
9991,48
9996,48
10000,43
10002,60
10009,60
10010,60
10012,42
10022,56
